Name,Ward,Address,Landline Nos.,Class from,Class to,School Type,Website,Email,BMC Dept.,Twitter Handle,Direction,
ADARSH VIDYALAYA HINDI PRIMARY,F/ N -WARD,BHARTIYA KAMALA NAGAR ANTOPHILL MUMBAI-400037,022-24011326,1,4,3-Co-educational,,mskori78@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0243230002502,72.8736210002672",
ADARSH VIDYALAYA LP,P/S-WARD,"SIDDHARTH NAGAR, GOREGAON",022-28780157,1,4,3-Co-educational,,halloadarsh@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1567960002957,72.8426080004121",
ADARSH VIDYAMANDIR,P/N- WARD,LAXMAN NAGAR KURAR VILLAGE MALAD EAST,022-28404759,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220300276,avmhindiprimary@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1851719996725,72.8641309996944",
ADARSHA VIDYALAYA,M/W,"SAHAKAR NAGAR-III, CHEMBUR,MUMBAI -400071",022-25234076,1,4,3-Co-educational,,primaryadarsha61@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0630519996434,72.8896230002098",
ADARSHA VIDYALAYA,C,12 forjet street govaliya tank garnt road mumbai,022-23861330,1,4,3-Co-educational,education.maharastra.gov.in,adarshvidyalaya02@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1548480005485,72.9969670006426",
AFAC MARATHI SCHOOL,M/W,M.U Mandlecha marg subhash nagar,022-25213310,1,4,3-Co-educational,,afacprimarathi786@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.056022999513,72.9039079999166",
AHILYA PRATHAMIK SHALA,F/S - WARD,"33/2327, Abhyudaya Nagar, Kalachowki, Mumbai-400033",022-24706836,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27221000135,ahilyavm@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9886479998892,72.8427850002771",
AHILYA VIDYALYA MAR,S-WARD,UTKARSH NAGAR S WARD,022-25943449,1,4,3-Co-educational,,ahilyavidyalaya@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1468719999624,72.9255970000778",
AIR INDIA MODERN SCHOOL,H/E -WARD,AIR INDIA STAFF COLONY ASSOCIATION OLD KALINA,022-26157544,1,4,3-Co-educational,,aimsprimary@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.082195999995,72.867156999938",
AL ITTEHAD URDU LP,K/E,Gulshan Nagar R.m road jogeshwari west,022-26784918,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220400489,alittehadurduprimaryschool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1476560001467,72.8383120003122",
AL KAUSUR URDU LP,M/E,"plot no 26,shivaji nagar",022-0,1,4,3-Co-educational,,alkausrups26@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0678700000137,72.9226680003509",
ALFALAH LP URDU,P/N- WARD,Kokanipada Kurarvillage Malad E Mumbai 400097,022-28428971,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220300231,apskurar1991@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1824300006733,72.8623759994937",
AMAR JYOTI HINDI SCHOOL,R / N,dada pande compound ketakipada dahisar east,022-28962845,1,4,3-Co-educational,,getsamarjyoti@yahoo.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.254172000204,72.8753360005793",
AMAR JYOTI MAR,R / N,Dada pandye compound ketaki pada Dahisar east,022-28962845,1,4,3-Co-educational,,getsamarjyoti@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2541290000862,72.8753270001507",
AMAR KOR VIDYALAYA,S-WARD,"MUNSHI MAHAL,KAMBLE COMPOUND,PRATAP NAGAR ROAD,BHANDUP WEST ,MUMBAI 400078.",022-25944733,1,4,3-Co-educational,www.amarkor.com,amarkorvidyalaya@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1417040000703,72.9232520004101",
ANANDRAO PAWAR SARSWATI,R / C,"RAM MANDIR ROAD , BABHAI, VAZIRA NAKA , BORIVALI WEST",022-28981869,1,4,3-Co-educational,apvidyalay.org,ujjwalkun16@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2269590002839,72.844228000067",
ANJUMAN I ISLAM ABDUS SATTAR SHUAIB PRIMARY SCHOOL,E,M S Ali Road Two Tank Mumbai 400 008,022-23008879,1,4,3-Co-educational,,aissps96@yahoo.in,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.961789999155,72.8257429999612",
ANJUMAN I ISLAM AHMED SAILOR PRI SCHOOL NAUPADA,E,123 DIMTIMKAR ROAD NAGPADA MUMBAI 400008,022-23015019,1,4,3-Co-educational,,ahmed.sailor@yahoo.in,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9651649993042,72.8302119998727",
ANJUMAN I ISLAM GIRLS LP,G / N,second balamiyan lane L J road Mahim west mumbai400016,022-24464453,1,4,2-Girls,www.anjumaniislamkz.org,anjumankz@reddifmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0388730003702,72.8410540004261",
ANJUMAN I ISLAM LP,L- WARD,S.G BARVE MARG KURLA WEST MUM-4000 70,022-25032441,1,4,3-Co-educational,,anjumanurduprimarykurla70@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0716730002833,72.8803220000317",
ANJUMAN I ISLAM SAIF TYABJI GIRLS PRI SCHOOL,E,"260, J.B.B.Marg,Bellasis Road, Mumbai - 400 008",022-23090146,1,4,2-Girls,,agpps_prepri@yahoo.in,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9687880004338,72.8255490003665",
ANJUMAN I ISLAMS F A S O URD L,K/E,"Bawla Campus,Yari Road Versova Andheri West Mumbai 400061",022-26328101,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220400290,aiifaso.pryum@yahoo.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1362159994159,72.8122480000192",
ANJUMAN K ISLAM URD GIRLS LP,L- WARD,"267-B, M.B.MARG, OPP KURLA BUS DEPOT, C.S.T ROAD, KURLA-W,MUMBAI-400070",022-5038480,1,4,2-Girls,,akipgirlskurla@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0755770003455,72.8792599995317",
ANJUMAN K ISLAM URD LP BOYS,L- WARD,267-B MAHARSHI BARVE MARG OPP KURLA BUS DEPOT KURLA WEST MUMBAI-400070,022-25038480,1,4,1-Boys,,akipbkurla@gmai.coml,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0755720002353,72.8794759993218",
ANJUMAN KAIRUL ISLAM URD LP,N WARD,Near Jama Masjid Chirag Nagar Ghatkopar w,022-25122525,1,4,3-Co-educational,,akIpghatkopar@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0878440003832,72.8996249997003",
ANJUMAN KHAIRUL ISLAM URDU GIRLS SCHOOL,E,2nd Ghelabai Street madanpura,022-23001951,1,4,2-Girls,,akigirls.madanpura@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9708279999784,72.8268750004715",
ANJUMAN KHAIRUL ISLAM URDU PRIMARY SCHOOL,S-WARD,Tagore nagar group no 2 near Sunni jama masjid.mumbai 400083,022-25746189,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220600172,akiupv@outlook.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1184220003598,72.9292459993458",
ANJUMAN KHIRUL ISLAM URDU PRIMARY SCHOOL BOYS,E,2nd Ghelabai Street Madanpura,022-23001951,1,4,1-Boys,education.maharashtra.gov.in/saral/27221200552,aklpriboys.madanpura@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9701619998506,72.8267419993732",
ANJUMAN RIYAZ ISLAM URD LP 1,M/E,plotNo.44/L/17 Shivaji Nagar Govandi West Mumbai . 400043,022-25561580,1,4,3-Co-educational,,anjumanriyazulislamprim1@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0610110000591,72.9212560002266",
ANJUMAN RIYAZ ISLAM URD LP 2,M/E,PLOT NO.17/E/1BAIGANWADI ROAD NO.9 GOVANDI MUMBAI43,022-25500834,1,4,3-Co-educational,,anjumanriyazulislamurdu2@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.061723999748,72.9203850005632",
ANJUMAN TABLIGHUL ISLAM URDU,L- WARD,"197,BELGRAMI ROAD KURLA W MUMBAI 400070",022-26505135,1,4,3-Co-educational,,atiprimary@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0657049999945,72.8763139998971",
ANUDATTA VIDYALAYA MARATHI PRATHAMIK,R/S-WARD,MHADA Vasahat Kandivali East,022-29664576,1,4,3-Co-educational,,anudattmarathiprathamik@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.193915000508,72.8748899991784","https://www.google.com/maps/search/?api=1&query=19.134889000106,72.8639320000573"
ANUYOG VIDYALAYA LP MAR,H/E -WARD,ADARSH LANE JAWAHAR NAGAR KHAR EAST,022-26471588,1,4,3-Co-educational,,vanuyog@yahoo.co.in,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0675619999117,72.8424409994027","https://www.google.com/maps/search/?api=1&query=19.0634420002474,72.8502899999959"
ARYAN EDUCATION SOCIETY LP,D,"75, JSS ROAD, GIRGAON, MUMBAI-400004",022-23895337,1,4,3-Co-educational,,aryanprimary.g@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9559730005331,72.8175039994834","https://www.google.com/maps/search/?api=1&query=18.9499079999471,72.836336999783"
ASHATAI GAWANKAR LP,P/S-WARD,"JAY PRAKASH NAGAR ,RD.NO.4 GOREGAON EAST",022-26864216,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220300182,agpsps03@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1688179993256,72.8501029996364","https://www.google.com/maps/search/?api=1&query=19.208189000114,72.8454689997433"
B L RUIA HIGH SCHOOL PRI.,K/E,MAHANT ROAD VILEPARLE EAST MUMBAI 400057,022-26142566,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220400122,blrhs1234@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1025100002365,72.8481159997912","https://www.google.com/maps/search/?api=1&query=19.0575419992798,72.8987399994443"
BAIRAMJI JIJIBHOY LP,P/S-WARD,"Gogatewadi, off Aarey Road, Goregaon -East",022-29276858,1,4,3-Co-educational,www.sanmitramandal.org,bjprimaryschool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1683880001203,72.850602000555","https://www.google.com/maps/search/?api=1&query=19.1408749998339,72.8604499997125"
BANDRA URDU LP,H/W -WARD,s v road bandra west mumbai 50,022-26559579,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220500172,bandraurduprimaryschool@yahoo.in,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0525769999221,72.8385999998463",
BENGALI EDUCATION SOC LP,F/S - WARD,"163, S. S Wagh Marg, Naigaon, Dadar east",022-24133748,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27221000174,besprimaryschool@yahoo.co.in,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0101300005619,72.8446049998105",
BHAIRAV VIDYALAYA KAMRAJ NGR,N WARD,"Kamraj Nagar,Ghatkopar EAST MUMBAI -77",022-0,1,4,3-Co-educational,,bhairavvidyalay@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0716370006728,72.9159229996189",
BHANDUP PEOPLES EDUCATION SOCIETY,S-WARD,PRATAPNAGARROADBHANDUPW,022-25946654,1,4,3-Co-educational,www.bpesschool.com,bpes_regd@yahoo.co.in,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1401220003247,72.924716999387",
BHARAT JATIYA VIDYA MANDIR GUJARATI SCHOOL,R / C,BORIVALI MUMBAI- SUBURBAN,022-28948487,1,4,3-Co-educational,,bjvm111gujarati@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2362189993086,72.8627579999245",
BHARAT JATIYA VIDYA MANDIR HINDI SCHOOL,R / C,BORIVALI MUMBAI -SUBURBAN,022-28948487,1,4,3-Co-educational,,bjvm111hindi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2364959995035,72.8619979999425",
BHAUSAHEB HIRAY VIDYALAYA LP MARATHI,D,MPMILLSCOUMPOUNDTAREDO,022-23524249,1,4,3-Co-educational,,bhvprischool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9731779995682,72.8129450005796",
BIMANAGAR ED SOC LP,R / N,"Near shati ashram Bus depot,L.I.C colony,Borivali",022-28938392,1,4,3-Co-educational,,bnesprimary@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2421620002438,72.8489729995379",
BNP VIDYALYA MAR,S-WARD,"NARDAS NAGAR,SHIVDARSHAN,BHANDUP-West-78",022-25958210,1,4,3-Co-educational,,brnath1980@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1493850002972,72.9281679997886",
BOMBAY GIRLS PRIMARY SCHOOL,B,"267,Nagdevi street,Mumbai 400 003.",022-23427774,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27221200227,bombaygirlshighschool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9492229998028,72.8345819992103",
CANOSSA CONVENT PRIMARY SCHOOL,K/E,"Mahakali Caves Road, Andheri East",022-28215007,1,4,2-Girls,www.canossaprimaryandheri.org,canpsand@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1253470002571,72.8654800000974",
CHANDRABHAGA VIDYAMANDIR,P/N- WARD,Pimpripada Shanti Nagar Malad East Mumbai,022-0,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220300256,chandrabhaga.vidyamandir@yahoo.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1802519994465,72.872642999915",
CHEMBUR EDUCATION SOC LP,M/W,"R.C.MARG, CHEMBUR NAKA, CHEMBUR, MUMBAI - 71",022-25288752,1,4,3-Co-educational,,ces.primary541@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0554340007401,72.8964999992457",
CHEMBUR KARANATAK HIGH SCHOOL,M/W,"VIDYASAGAR, GHATLA, CHEMBUR MUMBAI 400071",022-25212163,1,4,3-Co-educational,www.chemburkarnatakasangha.com,ck_sangha@rediffmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0567079997506,72.9068680006423",
CHIKITSAK SAMUHA POTDAR LP MAR,D,"52, SADASHIV CROSS LANE, KHADILKAR ROAD, NEAR JAIN TEMPLE, GIRGAUM, MUMBAI - 400 004.",022-23801038,1,4,3-Co-educational,www.education.maharashtra.gov.in/saral/27221200401,c.s.p.p.1908@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9560310001122,72.8173329998538",
CHUNNILAL UTAMCHAND SHAH PRIM ENG SCHOOL,R/S-WARD,Damodarwadi Ashok Nagar Kandivali East Mumbai - 400101,022-0,1,4,3-Co-educational,udiseplus.gov.in,cushahenglishprimary@yahoo.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1949309995174,72.858034000124",
COSMOS HIGHSCHOOL MAR,R / C,Borivali Mumbai Suburban,022-28975924,1,4,3-Co-educational,,cosmos.highschool.marathi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2360790002108,72.8679440000397",
CTI PRI ENG,L- WARD,"MTI building,NSTI campus,V.N.Purav marg,Sion-Chunabhatti,Mumbai-400022",022-24052907,1,4,3-Co-educational,,ctiprimary1966@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0560860003008,72.8798149996751",
CUMMOO JAFFER SULEMAN GIRLS HIGH SCHOOL,B,"178, Kambekar Street, Mumbai- 400003",022-23465592,1,4,2-Girls,http://education.maharashtra.gov.in/saral/27221200224,cummoojafarschool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9551700004905,72.8327840003953",
D H MISHRA GUJ,R / N,moreshwar bhoir shikshan kendra shivaji chowk s.n.dubey road rawal pada dahisar,022-28977944,1,4,3-Co-educational,www.education.maharashtra.gov.in,dhmpri@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2474299993958,72.8681149997451",
DAWOODBHOY FAZALBHOY PRIMARY SCH.,B,"243, Mohd. Umer Kokil Marg, Khadak, Mumbai - 400009",022-23478544,1,4,3-Co-educational,www.education.maharashtra.gov.in/saral/27221200228,dfprimaryschool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9553920003211,72.8359620001611",
DAYANAND LP,P/N1-WARD,"LIBERTY GARDEN RD. NO. 1, MALAD W",022-28823634,0,4,3-Co-educational,,dayanandprimaryschool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.186448999849,72.8442409994803",
DAYANAND VAIDIK VIDYA LP,T-WARD,Devi dayal Road mulund west,022-25901005,1,4,3-Co-educational,,dimpisantoshsingh1976@gmail.com.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1726680001597,72.9450219997464",
DEVRAO SHIVRAM UBHAYKAR BALAK VRIND LP MAR LP,D,"new chikhalwadi,sletar road ,grant road , 400007",022-23812204,1,4,3-Co-educational,,balakvrinda@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9668580005422,72.8153469998545",
DHANAJI WADI LP,P/N- WARD,"Dhanjiwadi, R. S. Marg, Malad East, Mumbai 97",022-0,1,4,3-Co-educational,,dhanjiwadi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2348719996705,72.8551870006528",
DHARMVEER SAMBHAJI VIDYALAYA,S-WARD,AMBEWADI LBS MARG VIKROLI WEST,022-25786087,1,4,3-Co-educational,,dharmaveersambhajipra@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1202019994391,72.9234670003909",
DNYANMANDIR PRATHMIK VIDYALAY,S-WARD,RAMABAI AMBEDKAR NAGAR OPP IIT MAIN GATE POWAI MUMBAI 400076,022-25786134,1,4,3-Co-educational,,dnyanmandirprischool@ymail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1230099992553,72.9190100001785",
DNYANMANDIR PRIMARY SCHOOL,P/S-WARD,16 /133 Unnat Nagar 4 M G Road Goregaon West mumbai 400090,022-2877537,1,4,3-Co-educational,,dnyanman,Education Dept,@mybmce,"https://www.google.com/maps/search/?api=1&query=19.1646869999934,72.8392219991963",
DNYANPRAKASH VIDYALAYA BHATWADI,N WARD,BHATWADI GHATKOPAR WEST MUMBAI 400 084,022-25159494,1,4,3-Co-educational,,dpvprimary@yahoo.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0947909993746,72.900769999311",
DNYANSADHANA PRATHAMIK VIDYALAY MANORI,P/N1-WARD,"Manori Village, Malad Marve road, Malad West, Mumbai-400095.",022-28451104,1,4,3-Co-educational,https://education.maharashtra.gov.in/saral/27220200173,dnyprathamik@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2087049995489,72.7869829996176",
DNYANSAGAR VIDYALAYA LP,K/E,"Ganesh Nagar ,Behram Baug,Jogeshwari West,Mumbai-400102",022-26749405,1,4,3-Co-educational,,dnyansagarvidyalayaprimery@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1450710002483,72.8336310001675",
DNYANSAMPADA LP SCHOOL,M/E,"SHIVAJINAGAR,GOVANDI,MUMBAI-400043.",022-0,1,4,3-Co-educational,dnyansampadacampus.com,dnyansampadam20@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0611889995575,72.9212320002556",
DNYANVARDHINI MARATHI,R / C,Plot No 10 Sector No 7 Charkop Kandivali,022-28681503,1,4,3-Co-educational,dvcrayat.com,dnyanvardhinischool2014@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2286179997497,72.8216630003752",
DON BOSCO PRIMARY SCHOOL,F/ N -WARD,"NATHALAL PAREKH MARG, MATUNGA, MUMBAI 400019.",022-24102023,1,4,1-Boys,www.donboscomatunga.com,office@donboscomatunga.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0258229998113,72.8572099998733",
DOSIBAI JEEJEEBHOY PRATHAMIK SHALA,P/S-WARD,"Aarey road,goregaon west mumbai 400104",022-28767948,1,4,3-Co-educational,www.theshikshanmandalgoregaon.edu.in,djps2000@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1666489998687,72.8468729998201",
DR BABASAHEB AMBEDKAR UP,M/W,"Malekar wadi,P.L.Lokhande marg, Chembur, mumbai -400089",022-25254444,1,4,3-Co-educational,,dr.babasahebambedkarpv1986@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0635789998695,72.9015299992906",
DR. GAJANAN DINKAR PURANDARE,T-WARD,"V. P. Road, Mulund w",022-25643555,1,4,3-Co-educational,www.sarvajanikshikshansanstha.in,gdpurandareschool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1703290004327,72.9494790001311",
DR. GOVINDRAO DALVI PRIMARY MARATHI VIDYALAY,R/S-WARD,"mathuradas Road, Irani Wadi Modi Nagar, Kandivali West",022-0,1,4,3-Co-educational,,drgdalvischool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2039900002658,72.8425919998686",
DURGAMATA VIDYAMANDIR,S-WARD,Kokan Nagar Road Utkarsh Nagar Bhandup West Mumbai 78,022-25943006,1,4,3-Co-educational,,durgamatavidyamandir@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1455769996597,72.9243050006773",
DYANESHWAR VIDYAMANDIR,R/S-WARD,banderpakhadi road kandivali west,022-28068293,1,4,3-Co-educational,saraswati.edu.in,s1977831@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2106349999072,72.8327879998984",
DYNYANGANGA ED. TRUST SCHOOL,R/S-WARD,DURGA NAGAR KRANTI NAGAR RD KANDIVALI E MUMBAI,022-29657915,1,4,3-Co-educational,,dnyangangaprimary@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1936920000417,72.8683680000815",
Dr.N.D.PATIL VIDYALAYA SAHYADRINAGAR,R/S-WARD,sahyadrinagar charkop kandivali west,022-28688588,1,4,3-Co-educational,www.ndpatilschools.com,nesprimarykandivali@gmaill.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2129840001536,72.8286409997203",
FAROOQ LP,K/E,Memon Colony SV Road Jogeshwari West Mumbai,022-26788164,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220400466,farooqprimaryschool@yahoo.in,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1317570000527,72.8473480006412",
FATIMA HIGH SCHOOL (PRIMARY),F/S - WARD,"Sakharam Lanjrekar Marg,Sewri West,Mumbai-15",022-24135342,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27221000151,fatimaschoolprimary@yahoo.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0002679992452,72.8527119998287",
FILMCITY PRIMARY SCHOOL,P/S-WARD,KANYA PADA GOREGAON EAST,022-28490453,1,4,3-Co-educational,,filmcityschool123@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1733489995885,72.8727259993738",
